범죄대분류,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,절도범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,풍속범죄,풍속범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
범죄중분류,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도범죄,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
전북 익산,1,3,3,24,2,58,1,5,969,99,753,3,84,1,43,21,227,10,1,2,1,39,1,2178,205,18,81,33,132,19,52,3,1146,0,2,16,30,946
전북 전주,6,3,3,81,9,190,1,20,2185,315,1252,15,208,2,94,93,555,47,36,2,3,163,0,4178,505,30,302,34,429,32,190,17,2912,2,2,17,34,2621
전북 정읍,1,1,0,12,1,21,0,2,546,91,128,2,32,0,21,6,113,3,19,1,1,20,0,581,56,2,25,7,69,15,32,4,550,0,1,7,6,344
전남 광양,2,1,1,14,1,23,0,2,446,127,314,3,80,0,18,7,144,1,4,1,0,24,0,911,82,13,54,11,95,11,56,11,940,0,0,17,7,476
전남 나주,0,0,0,15,1,32,0,0,418,59,195,2,42,1,13,13,144,3,6,0,1,30,0,394,71,6,41,3,81,20,20,2,516,1,0,9,2,354
전남 목포,2,2,2,36,9,80,1,7,1287,161,854,17,157,2,73,13,237,11,14,1,0,66,0,1716,244,18,112,31,233,29,117,20,1577,4,1,71,23,2901
전남 순천,2,2,7,31,8,67,1,6,966,219,747,5,135,1,51,41,350,7,14,0,1,48,0,1530,226,17,95,14,156,38,110,5,1347,2,0,21,8,978
전남 여수,3,2,0,21,6,72,3,8,809,197,652,5,155,2,37,53,355,8,8,2,0,168,0,1695,249,19,62,14,208,33,106,74,1847,3,0,30,21,3629
경북 경산,0,1,2,33,10,51,1,4,1014,149,535,9,115,1,38,14,390,7,3,1,0,59,0,1444,354,10,129,16,199,26,77,0,1327,1,0,13,35,950
경북 경주,0,1,1,21,2,65,2,5,1208,193,441,3,71,2,46,21,301,2,2,0,3,42,0,1497,300,18,58,12,349,54,55,65,1443,9,0,5,14,1272
경북 구미,3,3,3,42,6,72,1,11,1744,197,989,5,162,1,62,77,435,5,7,3,2,61,0,3150,292,17,194,16,366,59,134,4,2371,1,1,14,67,1314
경북 김천,1,1,0,11,3,20,0,6,493,84,206,0,59,0,9,18,154,5,4,6,0,19,0,600,120,11,32,9,92,19,43,23,682,0,0,15,15,493
경북 문경,0,1,0,2,0,8,0,1,180,58,85,1,21,0,5,3,55,0,9,1,1,17,0,253,27,13,11,3,46,13,17,3,251,1,0,9,1,175
경북 상주,0,1,0,6,1,14,0,4,350,74,110,1,23,0,22,11,103,1,3,0,0,28,0,440,48,5,13,0,46,16,16,18,433,0,0,13,7,316
경북 안동,2,0,0,13,2,38,0,10,443,103,348,3,83,0,22,8,197,6,6,0,3,24,0,839,84,10,68,13,101,37,29,8,742,1,1,23,9,517
경북 영주,0,0,1,14,5,20,0,1,246,83,174,2,39,1,16,4,86,2,2,0,0,18,0,468,48,0,19,13,50,19,14,0,441,1,0,7,2,294
